type,cycle,value
F01,10,1.217718379
F01,10,1.221097438
F01,10,1.226619212
F01,10,1.226821645
F01,10,1.219508362
F01,10,1.20893809
F01,10,1.206225077
F01,10,1.208588664
F01,10,1.205180105
F01,10,1.192657344
F01,10,1.184806188
F01,10,1.185413615
F01,10,1.192292531
F01,10,1.195130666
F01,10,1.188347626
F01,10,1.189474487
F01,10,1.188816071
F01,10,1.188387807
F01,10,1.19213028
F01,10,1.199879456
F01,10,1.204640579
F01,10,1.202150345
F01,10,1.198653666
F01,10,1.197143428
F01,10,1.201720556
F01,10,1.204835383
F01,10,1.204424159
F01,10,1.20198644
F01,10,1.203977458
F01,10,1.208795802
F01,10,1.208616511
F01,10,1.209332275
F01,10,1.208939616
F01,10,1.207058334
F01,10,1.203601837
F01,10,1.205619176
F01,10,1.210559591
F01,10,1.217018
F01,10,1.227330271
F01,10,1.220780563
F01,10,1.200983175
F01,10,1.199731064
F01,10,1.199896495
F01,10,1.210290655
F01,10,1.217695109
F01,10,1.21175766
F01,10,1.214383952
F01,10,1.217107773
F01,10,1.209571838
F01,10,1.21332194
F01,10,1.216251373
F01,10,1.216004054
F01,10,1.214584986
F01,10,1.213683701
F01,10,1.213621902
F01,10,1.211572138
F01,10,1.212419256
F01,10,1.211330922
F01,10,1.21304067
F01,10,1.213386917
F01,10,1.213465754
F01,10,1.213697688
F01,10,1.215595881
F01,10,1.217815653
F01,10,1.218089294
F01,10,1.216898982
F01,10,1.217232895
F01,10,1.217005666
F01,10,1.216110611
F01,10,1.21575826
F01,10,1.216387304
F01,10,1.215742747
F01,10,1.214455032
F01,10,1.214241791
F01,10,1.21306076
F01,10,1.21132164
F01,10,1.213830566
F01,10,1.214013036
F01,10,1.212845866
F01,10,1.213682175
F01,10,1.2152373
F01,10,1.214430364
F01,10,1.213117981
F01,10,1.213201396
F01,10,1.213754781
F01,10,1.21354154
F01,10,1.215725708
F01,10,1.216531118
F01,10,1.216328684
F01,10,1.217212804
F01,10,1.217625554
F01,10,1.217959468
F01,10,1.218413925
F01,10,1.218103282
F01,10,1.218328857
F01,10,1.217387517
F01,10,1.216764577
F01,10,1.216293081
F01,10,1.215450541
F01,10,1.215121333
F01,10,1.21329422
F01,10,1.21182874
F01,10,1.210575104
F01,10,1.208019765
F01,10,1.2060613
F01,10,1.205535634
F01,10,1.205246607
F01,10,1.206013362
F01,10,1.205115255
F01,10,1.204688517
F01,10,1.205124537
F01,10,1.204812241
F01,10,1.202308019
F01,10,1.2006663
F01,11,1.189289093
F01,11,1.198114141
F01,11,1.207458623
F01,11,1.209630585
F01,11,1.215193939
F01,11,1.21600558
F01,11,1.215000788
F01,11,1.215911229
F01,11,1.218301137
F01,11,1.22053477
F01,11,1.22318128
F01,11,1.226404317
F01,11,1.229627355
F01,11,1.232830302
F01,11,1.232344945
F01,11,1.231992467
F01,11,1.228429286
F01,11,1.222264608
F01,11,1.218443298
F01,11,1.216262182
F01,11,1.215976206
F01,11,1.215506236
F01,11,1.211671066
F01,11,1.20914828
F01,11,1.209448115
F01,11,1.207216009
F01,11,1.205282211
F01,11,1.205456797
F01,11,1.200587463
F01,11,1.196178818
F01,11,1.19164327
F01,11,1.187409337
F01,11,1.184283702
F01,11,1.181947962
F01,11,1.185538864
F01,11,1.186328761
F01,11,1.180479431
F01,11,1.176177343
F01,11,1.170190303
