type,cycle,v1,v2,v7,v16,v17,v18,v21,v22,v23,v24,v25,v46,v47,v52,v53,v99
F01,68,1.116843923,1.115664419,1.117151515,1.122153854,1.121326828,1.119440842,1.116990789,1.11590716,1.115316645,1.115684509,1.11629982,1.113902156,1.113525009,1.109236908,1.108876673,1.096384939
F01,69,1.088485718,1.087837982,1.092730586,1.099116389,1.097751363,1.09965121,1.096503957,1.095727921,1.094792684,1.091503143,1.092059708,1.085278066,1.086884181,1.085545603,1.08277537,1.08515447
F01,70,1.029411952,1.035664813,1.044720268,1.052318001,1.051047325,1.049623617,1.043777339,1.039543343,1.038175265,1.035762215,1.033666102,1.031215922,1.031089211,1.033171399,1.034132894,1.064602725
F01,71,1.096627553,1.097378794,1.097854996,1.09459788,1.094733938,1.096217982,1.095015335,1.09488856,1.094682948,1.093600845,1.095185343,1.096946081,1.095998383,1.098150253,1.098304749,1.108114624
F01,72,1.090535482,1.091025543,1.103365835,1.096197891,1.094687525,1.093706004,1.091003799,1.091340892,1.091968409,1.092280706,1.092545064,1.098445511,1.098366674,1.101023865,1.101860174,1.082330195
F01,73,1.095877838,1.095177587,1.093334961,1.093390656,1.092323939,1.091340892,1.09402593,1.081810888,1.085545603,1.087805557,1.086388016,1.09438769,1.09454066,1.095650609,1.095828374,1.086856461
F01,74,1.079348373,1.079493586,1.082011795,1.07906545,1.079481252,1.080003738,1.079029846,1.080428823,1.079410172,1.078974279,1.07902832,1.091704178,1.091320801,1.093688965,1.093372091,1.100131989
F01,75,1.102449163,1.103982671,1.109784063,1.099790319,1.099598694,1.100152079,1.104004288,1.104540634,1.103648758,1.102719625,1.102532578,1.105446498,1.104849879,1.109051387,1.109674327,1.110561625
F01,76,1.097266006,1.097582881,1.098522822,1.099785741,1.100407155,1.10057869,1.09724439,1.094602585,1.090680822,1.090303548,1.09008255,1.104015096,1.104328918,1.10517451,1.103559113,1.105976741
F01,77,1.0921772,1.091730372,1.089342117,1.080739594,1.08115387,1.080543264,1.079988352,1.07819519,1.079852295,1.079521434,1.079280345,1.079538472,1.080490748,1.078076172,1.07868983,1.0876695
F01,78,1.102591324,1.103146362,1.101198578,1.091722616,1.092586772,1.093967183,1.097185644,1.096689351,1.096537908,1.097262955,1.097015635,1.097349421,1.098615519,1.093528239,1.093134054,1.078406906
F01,79,1.097457631,1.095466614,1.108170319,1.107808558,1.108513387,1.109159597,1.108915329,1.107207235,1.106873322,1.106704839,1.107439041,1.100567881,1.099368286,1.09310468,1.090342204,1.097414398
F01,80,1.107695643,1.107429759,1.107408142,1.117261251,1.119020462,1.118355687,1.115086238,1.114625676,1.114741516,1.115227,1.114157232,1.119196701,1.119425456,1.121065521,1.120461146,1.112351735
F01,81,1.097253672,1.096981557,1.097392782,1.096405029,1.098397573,1.100475184,1.106248856,1.107570521,1.108281581,1.110938899,1.113551331,1.123679479,1.121940486,1.119467163,1.119671249,1.118751399
F01,82,1.137445068,1.137851715,1.1421182,1.144747543,1.144586817,1.145641073,1.142705536,1.141941961,1.139484024,1.138958486,1.13868955,1.13588384,1.1344045,1.12945315,1.129796346,1.138796107
F01,83,1.115061569,1.112943776,1.117720413,1.120287959,1.120142746,1.118921534,1.113749186,1.112198639,1.112025579,1.110550817,1.110025279,1.118037287,1.117831675,1.126213201,1.126213201,1.138346354
F01,84,1.11724116,1.116013845,1.111212413,1.113548152,1.116156006,1.116803741,1.121013006,1.119569143,1.121073278,1.121187719,1.120258586,1.11797231,1.117202504,1.112255859,1.111813736,1.125854492
F01,85,1.052064514,1.052358182,1.047340457,1.048612658,1.050759824,1.05271066,1.052594694,1.05295798,1.052011935,1.051147842,1.05067323,1.047383753,1.048046875,1.064356931,1.037457975,1.027827517
F01,86,1.074687703,1.075100454,1.071242015,1.071684138,1.072735341,1.073192851,1.073206711,1.074457296,1.075777435,1.075918198,1.076228841,1.068903224,1.069812139,1.067963282,1.067397563,1.066836421
F01,87,1.055817795,1.054625956,1.052234523,1.053372256,1.054848544,1.055548795,1.05698026,1.056924566,1.057661947,1.058045324,1.058598709,1.06004715,1.059875552,1.060915883,1.054536311,1.056349564
F01,88,1.058898608,1.058521398,1.054894892,1.052775574,1.053684553,1.051968638,1.049830755,1.049176915,1.048968188,1.047301801,1.04667422,1.048705419,1.049368604,1.052392197,1.054904175,1.056233597
F01,89,1.166114044,1.17068189,1.181680425,1.176882172,1.179658508,1.180547333,1.18232193,1.184156926,1.183382416,1.184682465,1.18204689,1.156325785,1.155007299,1.151077779,1.149446869,1.142198563
F01,90,1.092554347,1.100240199,1.107714208,1.109360504,1.107763672,1.108777746,1.108004888,1.10777448,1.10733401,1.107621511,1.10756429,1.104151154,1.105778885,1.107901255,1.106417338,1.089040629
F01,91,1.068272527,1.067555237,1.065639941,1.055839411,1.054041608,1.055233447,1.052232997,1.054836146,1.05922629,1.053655179,1.056419118,1.065567271,1.064604251,1.065309143,1.064440409,1.047215271
F01,92,1.034854825,1.035295359,1.037875366,1.040568225,1.04154981,1.041407585,1.038037682,1.037263234,1.03633728,1.035046514,1.034581184,1.040061188,1.040436808,1.038691584,1.037773323,1.014538002
F01,93,1.044012324,1.045035617,1.046935463,1.056773059,1.060898908,1.063593292,1.057453283,1.054594994,1.051252937,1.043106461,1.037445641,1.049806023,1.048360697,1.045432917,1.045666313,1.045522563
F01,94,1.062647247,1.062107722,1.054046249,1.0526179,1.049299049,1.053149668,1.056987953,1.052004242,1.053948847,1.060612933,1.060707219,1.049898783,1.049059423,1.04840711,1.04972566,1.0407444
