serial,type,cycle,value
SN 001,F01,1,1.2565340677866668
SN 001,F01,1,1.2564861297599998
SN 001,F01,1,1.2558755238833332
SN 001,F01,1,1.2573317209866666
SN 001,F01,1,1.2585065205866668
SN 001,F01,1,1.25898882548
SN 001,F01,1,1.2612332661933332
SN 001,F01,1,1.26255187988
SN 001,F01,1,1.2629151662166669
SN 001,F01,1,1.2644919077533332
SN 001,F01,1,1.2669172922766667
SN 001,F01,1,1.2668477376299998
SN 001,F01,1,1.2647083282466667
SN 001,F01,1,1.2630048116033334
SN 001,F01,1,1.2623045603433334
SN 001,F01,1,1.2599424997933333
SN 001,F01,1,1.2563747405999999
SN 001,F01,1,1.2550562540666665
SN 001,F01,1,1.2551938374833334
SN 001,F01,1,1.2547532399466665
SN 001,F01,1,1.2556420644100001
SN 001,F01,1,1.2537082672100002
SN 001,F01,1,1.2555400848366667
SN 001,F01,1,1.2556807200100002
SN 001,F01,1,1.2545167287166668
SN 001,F01,1,1.2533032735166667
SN 001,F01,1,1.2516198476133333
SN 001,F01,1,1.2498204549133334
SN 001,F01,1,1.2487878163633332
SN 001,F01,1,1.2500431060766668
SN 001,F01,1,1.2511127471899999
SN 001,F01,1,1.2525257110566665
SN 001,F01,1,1.2538566589333333
SN 001,F01,1,1.2540173848466667
SN 001,F01,1,1.25450592041
SN 001,F01,1,1.2554009755433335
SN 001,F01,2,1.2505686442033332
SN 001,F01,2,1.2516321818033334
SN 001,F01,2,1.2512055714900001
SN 001,F01,2,1.2493288675933334
SN 001,F01,2,1.2464274088533334
SN 001,F01,2,1.24279162089
SN 001,F01,2,1.2415271759
SN 001,F01,2,1.2406630198133333
SN 001,F01,2,1.2411515553766668
SN 001,F01,2,1.24078051249
SN 001,F01,2,1.2413509368866669
SN 001,F01,2,1.24129371643
SN 001,F01,2,1.2416044870999998
SN 001,F01,2,1.2425782521533333
SN 001,F01,2,1.24331258138
SN 001,F01,2,1.2426509857166665
SN 001,F01,2,1.24227841695
SN 001,F01,2,1.2422088623033334
SN 001,F01,2,1.2403182983366667
SN 001,F01,2,1.238514328
SN 001,F01,2,1.2373950958233333
SN 001,F01,2,1.2366654713933334
SN 001,F01,2,1.2355230967200002
SN 001,F01,2,1.23569157918
SN 001,F01,2,1.2367952982566666
SN 001,F01,2,1.23707516988
SN 001,F01,2,1.23651707967
SN 001,F01,2,1.23677368164
SN 001,F01,2,1.2364058176666668
SN 001,F01,2,1.2362620035799998
SN 001,F01,2,1.2358168284066666
SN 001,F01,2,1.23528200785
SN 001,F01,2,1.2347595214833333
SN 001,F01,2,1.2359219868966667
SN 001,F01,2,1.2365851084366668
SN 001,F01,2,1.2315626780166666
SN 001,F01,2,1.2315503438300002
SN 001,F01,2,1.2395994822166665
SN 001,F01,2,1.24400202433
SN 001,F01,2,1.2471199035633334
SN 001,F01,2,1.2400539398166666
SN 001,F01,2,1.2331178029366667
SN 001,F01,2,1.2259312947566667
SN 001,F01,2,1.2243530273433334
SN 001,F01,2,1.2345199584933333
SN 001,F01,2,1.2486687978100002
SN 001,F01,2,1.24922536214
SN 001,F01,2,1.23636411031
SN 001,F01,2,1.2252805074033333
SN 001,F01,2,1.2215844472233333
SN 001,F01,2,1.2178590138733334
SN 001,F01,2,1.2095671335833333
SN 001,F01,2,1.2110047658266665
SN 001,F01,2,1.2226557413733334
SN 001,F01,2,1.22720820109
SN 001,F01,2,1.2228922526033335
SN 001,F01,2,1.2264475504533332
SN 001,F01,2,1.23154258728
SN 001,F01,2,1.2317049662266666
SN 001,F01,2,1.22905693054
SN 001,F01,2,1.2303230285633333
SN 001,F01,2,1.2307496388733334
SN 001,F01,2,1.22935218811
SN 001,F01,2,1.2259930928533334
SN 001,F01,2,1.2256993611633333
SN 001,F01,2,1.2241427103666667
SN 001,F01,2,1.2262528737366667
SN 001,F01,2,1.2292439778633333
SN 001,F01,2,1.2297278086333334
SN 001,F01,2,1.23057492574
SN 001,F01,2,1.2325428009
SN 001,F01,2,1.2350593566866666
SN 001,F01,2,1.2328473409
SN 001,F01,2,1.2334409077933333
SN 001,F01,2,1.2348599751766665
SN 001,F01,2,1.2315812428766668
SN 001,F01,2,1.2336603800433332
SN 001,F01,2,1.2352865854866666
SN 001,F01,2,1.2304543813066668
SN 001,F01,2,1.2301930745433334
SN 001,F01,2,1.2297510782866667
SN 001,F01,2,1.2279933929433333
SN 001,F01,2,1.2290013631166665
SN 001,F01,2,1.22990099589
SN 001,F01,2,1.2301977793366667
SN 001,F01,2,1.2319939931233332
SN 001,F01,2,1.23436381022
SN 001,F01,2,1.2359343210833333
SN 001,F01,2,1.2384618123366666
SN 001,F01,2,1.2407371520966668
SN 001,F01,2,1.2433713277166667
SN 001,F01,2,1.2450515747066668
SN 001,F01,2,1.2445599873833333
SN 001,F01,2,1.2448692321766666
SN 001,F01,2,1.2438165028866666
SN 001,F01,2,1.24503466288
SN 001,F01,2,1.2450871785466666
SN 001,F01,2,1.2468509674066666
SN 001,F01,2,1.2471106211333334
SN 001,F01,2,1.2472775777166667
SN 001,F01,2,1.2487013498933335
SN 001,F01,2,1.2487677256233334
SN 001,F01,2,1.2470905303933333
SN 001,F01,2,1.2445800781233334
SN 001,F01,2,1.24292449951
SN 001,F01,2,1.23929494222
SN 001,F01,2,1.2373611450166666
SN 001,F01,2,1.2385838826466666
SN 001,F01,2,1.2390506744366665
SN 001,F01,2,1.2382808685300002
SN 001,F01,2,1.2407526651999998
SN 001,F01,2,1.2412921905499998
SN 001,F01,2,1.24075419108
SN 001,F01,2,1.2404141743966666
SN 001,F01,2,1.2383612314833334
SN 001,F01,2,1.23447964986
SN 001,F01,2,1.2320589701333333
SN 001,F01,2,1.2321980794266667
SN 001,F01,2,1.23282725016
SN 001,F01,2,1.2336728413866667
SN 001,F01,2,1.23632392883
