serial,type,cycle,value_min,value_median,value_std_overall,rolling_mean_last15,rolling_std_last15,rolling_slope_last15,delta_from_roll_mean,diff1_mean,diff1_max,diff1_min,diff1_std,diff2_mean,diff2_max,diff2_min,diff2_std,num_peaks,mean_peak_prominence,mean_peak_width,zero_crossing_rate,lag1_autocorr,std_roll_mean15_series,range_roll_mean15_series,std_roll_std15_series,severity_score,severity_weighted_delta,severity_weighted_std,risk_weighted_trend
SN 012,F02,86,1.6130572001133332,1.6210838953633333,0.0013495794376894034,1.6208698866086666,0.0007627097750300556,-5.675225035712589e-05,-0.00031388176866653517,1.145985501377574e-05,0.01024258931333355,-0.006112162269999999,0.001698227970031407,4.279348583333305e-05,0.01635475158333355,-0.007661056516667042,0.002682352188150676,29.0,0.0020238591335632805,1.888685403145042,52.0,0.20647681611144056,0.00047063060483866,0.002013176812444506,0.0003658993115817703,2,-0.0009416453059996055,0.0015254195500601113,-0.00017025675107137765
SN 028,F03,74,3.4114868164033334,3.4208504994683335,0.00333067387800682,3.4209866332993335,0.001120331977822163,9.480067657144771e-05,0.0007952880873332013,8.508351225895292e-05,0.0030871073400002835,-0.0034194946300001305,0.0012127344135411903,-2.9602050777777222e-05,0.0047968546566665715,-0.004043833413332809,0.0019191963440846796,26.0,0.0020159892547435723,2.5710106575660214,17.0,0.9326594973239587,0.0027061063906499132,0.010612894694888908,0.0003586867139766367,3,0.0031811523493328053,0.0028008299445554078,0.00037920270628579084
SN 018,F02,219,2.978556569416667,2.986256281533333,0.0023158149957592257,2.985658501517556,0.0009867084075498686,7.244019283332292e-05,0.0008496771924439983,-8.993437796146283e-06,0.009559377033332872,-0.014116414386666776,0.0028680789458594464,1.7878214527777826e-05,0.012837982176665985,-0.018359629309999903,0.004426425979058355,31.0,0.0036565062820430234,2.1372809038944163,54.0,0.2385007380871452,0.0005749074534793441,0.0026511637373336505,0.0011170676870315482,2,0.002549031577331995,0.0019734168150997372,0.00021732057849996875
SN 013,F02,107,2.470373789466667,2.4732528686516666,0.0012926119818331332,2.4735510423431113,0.0014824193384842387,-3.9803641083332604e-05,-0.0029422675231112194,-1.9418175234159753e-05,0.0048322041833328555,-0.00439173380666702,0.0018441068111844335,-2.9693179638886254e-05,0.006526438396665668,-0.009058634443333435,0.003051712095584847,32.0,0.0026684284214582993,2.071569371288911,60.0,-0.027799356503045505,0.00035404686386944094,0.0015029398597778965,0.0002906950033026522,2,-0.008826802569333658,0.0029648386769684774,-0.00011941092324999781
SN 038,N01,140,2.5469586690266666,2.5563309987366667,0.0020045022874613937,2.556115960013334,0.0003295458773599395,-2.5011698261921477e-05,-0.00010806613333391724,-1.7255462534466877e-06,0.01745707193999957,-0.00587259928333328,0.002417387253816353,3.0555725111114376e-05,0.014064025879999331,-0.021066538493332843,0.0036752121311006292,25.0,0.0028316548662667353,2.039179532894888,56.0,0.2786591068928275,0.0005684847680336273,0.0032251485186667317,0.0008289241584476142,0,-0.00010806613333391724,0.0003295458773599395,-2.5011698261921477e-05
SN 010,F02,47,2.643917592363333,2.6484344482399997,0.0013283554648585714,2.6482692972804442,0.002365426811431939,-7.203874134522455e-05,0.0018036905928893177,1.0578166033061793e-05,0.004119618736666997,-0.005249786376666954,0.0016273344287514163,2.592934502777533e-05,0.0072268168166669255,-0.0069440205900002105,0.002557158213367125,28.0,0.002358000619166594,2.5612778256020725,56.0,0.24995737190986894,0.0004234778415227507,0.001775953505555261,0.00038778881433289075,2,0.005411071778667953,0.004730853622863878,-0.00021611622403567367
SN 029,F03,116,2.24370015462,2.250737508136666,0.004633165369953159,2.2456927998846665,0.001112933985603795,8.08715810715066e-06,0.002287699382000241,-4.340978363636309e-05,0.005291239419999982,-0.004496765136666525,0.001723610975779692,-5.359649638888205e-06,0.006441497800000029,-0.005611673996666511,0.002139303202851782,17.0,0.004094830681176475,3.1705730223273734,11.0,0.931171429702953,0.0037911157450536332,0.013856235079999557,0.0010723095978726457,3,0.009150797528000965,0.0027823349640094873,3.234863242860264e-05
SN 029,F03,111,2.4407496134433333,2.4438961029049997,0.001029836119274414,2.4432816908075554,0.0004714408274665232,-5.75283595714079e-05,-0.0006229485408888458,-1.1919089917358954e-05,0.0025395711266664733,-0.0031394958499997294,0.000862152058998944,-8.218553333335284e-06,0.0055572509766665945,-0.0034779866533334314,0.001318402086731439,26.0,0.0012894361447435105,3.3057820409251355,21.0,0.6499165059065329,0.0006359541690901001,0.0022035047742221536,0.0002843735698295988,3,-0.002491794163555383,0.001178602068666308,-0.0002301134382856316
SN 040,N01,189,3.03913116455,3.0891147613499994,0.012911091007857147,3.0901478576642223,0.0032920212875062445,-0.0005470103308928609,-9.251912422225672e-05,-3.928402567492898e-05,0.03128153483000018,-0.028976694739999864,0.010948474810154998,0.00014003965591666463,0.05492960612000042,-0.03347015380999885,0.013437830770595956,17.0,0.02227492986980386,3.2687882383292477,32.0,0.6431072345947999,0.0035639200717587378,0.020868343776888842,0.006205756652053702,0,-9.251912422225672e-05,0.0032920212875062445,-0.0005470103308928609
SN 024,F03,22,2.7598159790033336,2.7727767944316666,0.009461207612664245,2.788255903454222,0.002761474036148941,0.0005444508505595223,0.002564663355777874,-0.00010544748019284097,0.0068990071633336925,-0.006337738036666263,0.0024969732205042745,3.2836066361119354e-05,0.008811187746666338,-0.006871032716667003,0.0030574576700691932,9.0,0.006970977783703851,4.818157309131883,4.0,0.9641036934815268,0.006976355204338415,0.02289308336022211,0.0017931952685152372,3,0.010258653423111497,0.0069036850903723525,0.002177803402238089
